O_T_EE_12,O_T_EE_13
0.479275,-0.419599
0.479275,-0.419599
0.479277,-0.419596
0.479276,-0.4196
0.479275,-0.419597
0.479274,-0.419598
0.479273,-0.419597
0.479277,-0.419591
0.479273,-0.419592
0.479272,-0.419592
0.479272,-0.419593
0.479273,-0.41959
0.47927,-0.419593
0.47927,-0.419589
0.479268,-0.419588
0.479268,-0.419587
0.479268,-0.419581
0.479266,-0.419581
0.479264,-0.419582
0.479268,-0.419579
0.479267,-0.419576
0.479266,-0.419575
0.479263,-0.419576
0.479264,-0.419573
0.479261,-0.419572
0.479261,-0.419569
0.479261,-0.419566
0.479261,-0.419565
0.479262,-0.419564
0.479261,-0.419559
0.47926,-0.419556
0.479263,-0.419553
0.479255,-0.419558
0.47926,-0.41955
0.479256,-0.41955
0.479257,-0.419546
0.479257,-0.419541
0.479259,-0.419538
0.479256,-0.419536
0.479254,-0.419534
0.479254,-0.41953
0.479255,-0.419529
0.479249,-0.419527
0.479253,-0.419518
0.479254,-0.419515
0.479254,-0.41951
0.479249,-0.419512
0.479248,-0.419506
0.479253,-0.419499
0.479251,-0.419495
0.47925,-0.419492
0.479249,-0.419488
0.479247,-0.419484
0.479244,-0.419484
0.479242,-0.419481
0.479242,-0.419471
0.479246,-0.419466
0.479247,-0.419459
0.479243,-0.419457
0.479243,-0.419454
0.479244,-0.419446
0.47924,-0.419446
0.479241,-0.419439
0.479239,-0.419432
0.479236,-0.419429
0.479239,-0.419423
0.479237,-0.419419
0.479239,-0.419413
0.479234,-0.419409
0.479234,-0.419402
0.479235,-0.419394
0.479232,-0.419391
0.479228,-0.419388
0.479231,-0.419381
0.479225,-0.419382
0.479227,-0.419371
0.479226,-0.419365
0.479224,-0.419359
0.479222,-0.419356
0.479225,-0.419347
0.479224,-0.419344
0.47922,-0.419338
0.479222,-0.419333
0.47922,-0.419327
0.479218,-0.419323
0.479218,-0.419311
0.479217,-0.419311
0.47922,-0.419303
0.479218,-0.419296
0.479221,-0.419289
0.479218,-0.419284
0.479217,-0.41928
0.479217,-0.419272
0.479217,-0.419266
0.479213,-0.419261
0.479213,-0.419254
0.479216,-0.419245
0.479213,-0.419239
0.479214,-0.419232
0.479211,-0.41923
0.479211,-0.419224
0.479211,-0.419215
0.479211,-0.419209
0.479209,-0.419202
0.479212,-0.419195
0.479206,-0.419191
0.479207,-0.419185
0.479209,-0.419176
0.479205,-0.419173
0.479203,-0.419167
0.479204,-0.419157
0.479204,-0.419154
0.479203,-0.419146
0.479204,-0.419139
0.479205,-0.41913
0.479205,-0.419126
0.479206,-0.419119
0.479204,-0.419111
0.479203,-0.419106
0.479202,-0.419101
0.479199,-0.419096
0.479203,-0.419086
0.479201,-0.419081
0.479204,-0.419071
0.479203,-0.419066
0.479202,-0.419059
0.479198,-0.419054
0.4792,-0.419048
0.4792,-0.41904
0.479202,-0.419032
0.4792,-0.419029
0.479202,-0.419016
0.4792,-0.419013
0.479199,-0.419008
0.479199,-0.419001
0.4792,-0.418994
0.4792,-0.418985
0.479203,-0.418978
0.479203,-0.418973
0.479201,-0.418964
0.479199,-0.418961
0.479199,-0.418955
0.479199,-0.418949
0.479202,-0.418939
0.479199,-0.418939
0.479202,-0.418925
0.479203,-0.418921
0.4792,-0.418918
0.479201,-0.418912
0.479201,-0.418906
0.479203,-0.418898
0.479205,-0.418889
0.479206,-0.418884
0.479202,-0.418882
0.479202,-0.418873
0.479201,-0.418869
0.479203,-0.418865
0.479204,-0.418856
0.479206,-0.418851
0.479208,-0.418843
0.479211,-0.418834
0.479207,-0.418831
0.479208,-0.418823
0.479209,-0.418818
0.479209,-0.418813
0.479211,-0.418808
0.479211,-0.418802
0.479209,-0.418799
0.479212,-0.418792
0.479217,-0.418784
0.479216,-0.418782
0.479219,-0.41877
0.479217,-0.41877
0.479221,-0.418764
0.479222,-0.418757
0.479221,-0.41875
0.479224,-0.418745
0.479227,-0.41874
0.479227,-0.418737
0.479228,-0.418731
0.479228,-0.418727
0.479231,-0.41872
0.479233,-0.418717
0.479235,-0.41871
0.479239,-0.418704
0.47924,-0.4187
0.47924,-0.418697
0.479246,-0.418688
0.479247,-0.418686
0.479245,-0.418681
0.47925,-0.418676
0.479253,-0.418672
0.479254,-0.418667
0.479254,-0.418662
0.479258,-0.418658
0.479257,-0.418656
0.479262,-0.418649
0.479265,-0.418645
0.479264,-0.418644
0.47927,-0.418636
0.47927,-0.418634
0.479273,-0.41863
0.479276,-0.418624
0.479278,-0.418621
0.47928,-0.418621
0.479284,-0.418611
0.479287,-0.41861
0.479287,-0.418609
0.479291,-0.418604
