O_T_EE_12,O_T_EE_13
0.479269,-0.419591
0.479268,-0.419592
0.479269,-0.419593
0.479269,-0.419595
0.479268,-0.419592
0.479269,-0.41959
0.479265,-0.419595
0.479268,-0.419589
0.479267,-0.419588
0.479265,-0.419588
0.479263,-0.419589
0.479266,-0.419588
0.479264,-0.419585
0.479264,-0.419581
0.479264,-0.41958
0.479265,-0.419582
0.47926,-0.41958
0.479262,-0.419578
0.479264,-0.419574
0.479261,-0.419575
0.47926,-0.419574
0.47926,-0.419569
0.479259,-0.41957
0.479256,-0.419567
0.479256,-0.419566
0.479258,-0.419562
0.47926,-0.419558
0.479259,-0.419555
0.479255,-0.419555
0.479257,-0.419552
0.479254,-0.41955
0.479254,-0.419545
0.479255,-0.419544
0.479254,-0.419538
0.479255,-0.419538
0.479254,-0.419534
0.479253,-0.419532
0.479254,-0.419527
0.47925,-0.419522
0.479252,-0.419516
0.479252,-0.419515
0.479251,-0.419512
0.479251,-0.419506
0.479251,-0.419503
0.47925,-0.419499
0.479247,-0.419497
0.479247,-0.419493
0.479242,-0.419489
0.479243,-0.419484
0.479247,-0.419474
0.479239,-0.419476
0.479242,-0.41947
0.479238,-0.419466
0.479239,-0.419461
0.479239,-0.419457
0.47924,-0.419451
0.479239,-0.419443
0.479235,-0.419441
0.479236,-0.419435
0.479231,-0.41943
0.479235,-0.419422
0.479234,-0.41942
0.479235,-0.419414
0.479232,-0.419409
0.479229,-0.419403
0.479225,-0.419401
0.479229,-0.419393
0.479227,-0.419387
0.479226,-0.419381
0.479227,-0.419378
0.479224,-0.419374
0.479222,-0.419369
0.479223,-0.419362
0.479224,-0.419354
0.479223,-0.41935
0.47922,-0.419342
0.479218,-0.419338
0.479219,-0.419333
0.479218,-0.419328
0.479215,-0.419323
0.479217,-0.419315
0.479215,-0.419308
0.479213,-0.419302
0.479211,-0.419297
0.479212,-0.419293
0.479211,-0.419285
0.479209,-0.41928
0.479208,-0.419273
0.479207,-0.419269
0.479209,-0.41926
0.479204,-0.419257
0.479205,-0.419251
0.479202,-0.419241
0.479204,-0.419232
0.479201,-0.419231
0.479201,-0.41922
0.4792,-0.419216
0.479197,-0.419211
0.479195,-0.419206
0.479198,-0.419199
0.479195,-0.41919
0.479196,-0.419185
0.479194,-0.419179
0.479193,-0.419172
0.479192,-0.419166
0.479193,-0.419157
0.479195,-0.41915
0.479191,-0.419144
0.47919,-0.419139
0.47919,-0.419132
0.47919,-0.419126
0.47919,-0.419118
0.479186,-0.419116
0.47919,-0.419108
0.479185,-0.419099
0.479187,-0.419091
0.479184,-0.419087
0.479185,-0.419081
0.479184,-0.419074
0.479184,-0.419065
0.479183,-0.419062
0.479181,-0.419053
0.479182,-0.419048
0.479183,-0.419037
0.479184,-0.419032
0.47918,-0.419028
0.479183,-0.419019
0.479183,-0.419012
0.479185,-0.419004
0.479182,-0.419001
0.479181,-0.418992
0.479182,-0.418986
0.479183,-0.418978
0.479183,-0.418969
0.479182,-0.418964
0.479183,-0.418958
0.479181,-0.418951
0.479184,-0.418943
0.479182,-0.41894
0.479181,-0.418932
0.479182,-0.418926
0.479182,-0.418919
0.479182,-0.418916
0.479185,-0.418906
0.479182,-0.418902
0.479183,-0.418897
0.479183,-0.41889
0.479184,-0.418881
0.479183,-0.41888
0.479186,-0.418872
0.479184,-0.418867
0.479184,-0.41886
0.479186,-0.418854
0.479188,-0.418845
0.479188,-0.41884
0.479188,-0.418835
0.479191,-0.418827
0.479189,-0.418823
0.479189,-0.418815
0.479194,-0.418808
0.47919,-0.418808
0.479195,-0.418796
0.479195,-0.418792
0.479195,-0.418786
0.479198,-0.418779
0.479198,-0.418776
0.4792,-0.41877
0.479198,-0.418762
0.4792,-0.418761
0.479207,-0.41875
0.479203,-0.418749
0.479208,-0.418739
0.479207,-0.418737
0.479209,-0.418731
0.479213,-0.418724
0.479215,-0.418716
0.479218,-0.418711
0.479221,-0.418705
0.479224,-0.418699
0.479222,-0.418697
0.479224,-0.418691
0.479228,-0.418685
0.479231,-0.41868
0.479232,-0.418678
0.479237,-0.418668
0.47924,-0.418661
0.479239,-0.418661
0.479243,-0.418656
0.479245,-0.418651
0.479247,-0.418648
0.479247,-0.418643
0.479248,-0.418639
0.479257,-0.418632
0.479255,-0.418631
0.479262,-0.418624
0.479265,-0.418619
0.479266,-0.418616
0.479272,-0.418608
0.479272,-0.418609
0.479274,-0.418602
0.479277,-0.418597
0.479281,-0.418594
0.479285,-0.41859
0.479286,-0.418587
0.479287,-0.418583
0.479293,-0.418576
0.479296,-0.418571
0.479298,-0.418571
0.479302,-0.418565
0.479304,-0.418561
0.479308,-0.418557
0.47931,-0.418557
0.479314,-0.418551
0.479316,-0.418547
0.479321,-0.418544
0.479322,-0.418545
0.479326,-0.418537
0.479331,-0.418533
0.47933,-0.418535
0.479334,-0.418528
0.479337,-0.418527
0.47934,-0.418521
0.479342,-0.418521
0.479347,-0.418514
0.479352,-0.41851
0.479348,-0.418511
0.479352,-0.418509
0.47936,-0.418503
0.479359,-0.418502
0.479361,-0.418504
0.479365,-0.4185
0.479365,-0.418495
0.479368,-0.418493
0.479372,-0.418489
0.479376,-0.418484
0.479378,-0.418482
0.47938,-0.418481
0.479386,-0.418474
0.479387,-0.418472
0.479388,-0.418475
0.479392,-0.418471
0.479393,-0.41847
0.479396,-0.418466
0.4794,-0.418461
0.479401,-0.418461
0.479397,-0.418462
0.479403,-0.418458
0.479407,-0.418452
0.47941,-0.418452
0.479412,-0.418448
0.479412,-0.418451
0.479412,-0.418445
0.479416,-0.418446
0.47942,-0.418441
0.479422,-0.418438
0.47942,-0.418436
0.479425,-0.418433
0.479427,-0.418431
0.479428,-0.418432
0.479431,-0.418429
0.479431,-0.418427
0.479434,-0.418424
0.479437,-0.418419
0.479437,-0.418417
0.479443,-0.418414
0.479442,-0.418412
0.479446,-0.418407
0.479443,-0.418409
0.479447,-0.418406
0.479449,-0.4184
0.47945,-0.418401
0.479455,-0.418398
0.479456,-0.418393
0.479455,-0.418395
0.479457,-0.418391
0.479462,-0.418388
0.479461,-0.418388
0.479462,-0.418386
0.479466,-0.418382
0.479465,-0.418383
0.479469,-0.418376
0.479469,-0.418379
0.479473,-0.418371
0.479473,-0.418375
0.479474,-0.418372
0.479478,-0.41837
0.479477,-0.418366
0.479476,-0.418369
0.479479,-0.418363
0.479482,-0.41836
0.479484,-0.418359
0.479485,-0.418357
0.479486,-0.418355
0.479489,-0.418355
0.479489,-0.418354
0.479492,-0.418349
0.479491,-0.418351
0.479492,-0.418347
0.479497,-0.418346
0.479494,-0.418348
0.479496,-0.418345
0.479499,-0.418342
0.479495,-0.418343
0.479498,-0.418341
0.479502,-0.418338
0.479501,-0.418339
0.479505,-0.418336
0.479506,-0.418334
0.479506,-0.418332
0.479504,-0.418336
0.479508,-0.418332
0.479509,-0.418334
0.47951,-0.418331
0.479512,-0.418328
0.479516,-0.418326
0.479513,-0.418328
0.47951,-0.418328
0.479516,-0.418323
0.479514,-0.418326
0.479515,-0.418323
0.479514,-0.418327
0.479516,-0.418324
0.479518,-0.418321
0.479519,-0.418321
0.479521,-0.41832
0.479518,-0.418321
0.479519,-0.418321
0.479523,-0.418319
0.479522,-0.41832
0.479523,-0.418318
0.479521,-0.41832
0.47952,-0.418319
0.479522,-0.418317
0.479522,-0.418316
0.479523,-0.418317
0.479522,-0.418317
0.479525,-0.418316
0.479527,-0.418313
0.479526,-0.418316
0.479526,-0.418314
0.479528,-0.418312
0.479527,-0.418314
0.479526,-0.418315
0.479524,-0.418316
0.47953,-0.418313
0.479528,-0.418313
0.479528,-0.418312
0.479529,-0.418311
0.479526,-0.418315
0.479527,-0.418314
0.479529,-0.418313
0.479531,-0.418312
0.479527,-0.418312
0.479533,-0.418307
0.479529,-0.418309
0.479531,-0.418307
0.479528,-0.418312
0.47953,-0.418307
0.479528,-0.418312
0.479529,-0.418311
0.479529,-0.418309
0.479531,-0.418308
0.479533,-0.418307
0.479529,-0.418308
0.479528,-0.418308
0.479526,-0.41831
0.47953,-0.418306
0.479527,-0.418312
0.479525,-0.41831
0.479526,-0.418311
0.479526,-0.418311
0.479528,-0.418307
0.479528,-0.418308
0.479528,-0.418309
0.479527,-0.418309
0.479525,-0.41831
0.479527,-0.418309
0.479529,-0.418308
0.479527,-0.418309
0.479527,-0.418309
0.479527,-0.418311
0.479527,-0.418309
0.479525,-0.418312
0.479529,-0.418308
0.479526,-0.418308
0.479526,-0.418312
0.479526,-0.418309
0.479527,-0.418309
0.479526,-0.41831
0.479525,-0.418311
0.479528,-0.41831
0.479526,-0.418312
0.479527,-0.418309
0.479529,-0.418308
0.479529,-0.418308
0.479532,-0.418306
0.479526,-0.418311
0.479528,-0.418311
0.479526,-0.41831
0.479528,-0.418311
0.479528,-0.418308
0.47953,-0.418306
0.479526,-0.418313
0.479526,-0.418311
0.479527,-0.41831
0.479528,-0.418309
0.479528,-0.418309
0.479528,-0.418308
0.479529,-0.41831
0.479531,-0.418305
0.47953,-0.418306
0.479529,-0.418307
0.479532,-0.418307
0.47953,-0.418308
0.47953,-0.41831
0.479527,-0.41831
0.479532,-0.418308
0.479531,-0.418307
0.479533,-0.418306
0.479532,-0.418306
0.479534,-0.418305
0.479532,-0.418304
0.479533,-0.418306
0.47953,-0.418308
0.479532,-0.418309
0.479534,-0.418304
0.479533,-0.418308
0.479532,-0.41831
0.479531,-0.418305
0.479531,-0.418305
0.479531,-0.418305
0.479531,-0.418307
0.479532,-0.418308
0.479533,-0.418306
0.479533,-0.418305
0.479534,-0.418305
0.479532,-0.418307
0.479533,-0.418307
0.479534,-0.418305
0.479531,-0.418306
0.479534,-0.418307
0.479532,-0.418307
0.479528,-0.418308
