O_T_EE_12,O_T_EE_13
0.479308,-0.419572
0.479308,-0.41957
0.479308,-0.41957
0.479307,-0.419574
0.479311,-0.41957
0.479308,-0.419572
0.479308,-0.419568
0.479307,-0.419566
0.479306,-0.419569
0.479305,-0.419568
0.479307,-0.419565
0.479306,-0.419567
0.479305,-0.419565
0.479306,-0.419563
0.479307,-0.419558
0.479304,-0.419558
0.479304,-0.419559
0.479303,-0.419557
0.479304,-0.419555
0.479304,-0.419554
0.479302,-0.419552
0.479304,-0.41955
0.479302,-0.419549
0.479302,-0.419548
0.479298,-0.419548
0.479301,-0.419544
0.479299,-0.419544
0.4793,-0.419543
0.4793,-0.419539
0.479297,-0.419539
0.479296,-0.419537
0.479296,-0.419534
0.479297,-0.419529
0.479295,-0.419529
0.479295,-0.41953
0.479296,-0.419525
0.479294,-0.419524
0.479297,-0.419519
0.479294,-0.419518
0.479295,-0.419514
0.479294,-0.419511
0.479295,-0.419508
0.479295,-0.419504
0.479291,-0.419503
0.47929,-0.419497
0.47929,-0.419499
0.479288,-0.419495
0.479288,-0.41949
0.479287,-0.419487
0.479286,-0.419485
0.479287,-0.419481
0.479283,-0.41948
0.479284,-0.419473
0.479283,-0.419468
0.47928,-0.419468
0.47928,-0.419462
0.479281,-0.419459
0.47928,-0.419453
0.479279,-0.419448
0.479274,-0.41944
0.479273,-0.419437
0.47927,-0.419432
0.479269,-0.41943
0.479268,-0.419427
0.479263,-0.419424
0.479262,-0.419417
0.479264,-0.419411
0.479259,-0.419408
0.479259,-0.419402
0.479256,-0.4194
0.479258,-0.419394
0.479257,-0.419391
0.479253,-0.419387
0.47925,-0.419384
0.479249,-0.41938
0.47925,-0.419371
0.479248,-0.419372
0.479247,-0.419364
0.479247,-0.419356
0.479246,-0.419351
0.479243,-0.419347
0.47924,-0.419346
0.479241,-0.419339
0.479239,-0.419335
0.479236,-0.419333
0.479238,-0.419326
0.479238,-0.419319
0.479234,-0.419317
0.479234,-0.41931
0.479231,-0.419306
0.479229,-0.419307
0.479226,-0.419299
0.479225,-0.419295
0.479226,-0.419287
0.479221,-0.419283
0.479219,-0.419279
0.479217,-0.419276
0.47922,-0.419265
0.479216,-0.419264
0.479218,-0.419255
0.479212,-0.419255
0.479212,-0.419248
0.479212,-0.419242
0.479209,-0.419238
0.479209,-0.419231
0.479207,-0.419225
0.479202,-0.419222
0.479202,-0.419219
0.479204,-0.41921
0.479199,-0.419207
0.479199,-0.4192
0.479198,-0.419196
0.479196,-0.419189
0.479194,-0.419185
0.479192,-0.41918
0.47919,-0.419175
0.479192,-0.419167
0.479187,-0.419166
0.479185,-0.419161
0.479185,-0.419151
0.479182,-0.41915
0.479184,-0.419142
0.479179,-0.419139
0.479179,-0.419133
0.479178,-0.419126
0.479175,-0.419121
0.479171,-0.419116
0.479171,-0.419112
0.479172,-0.419107
0.479169,-0.4191
0.479168,-0.419097
0.479165,-0.419094
0.479166,-0.419084
0.479163,-0.419082
0.479164,-0.419076
0.479164,-0.419068
0.47916,-0.419065
0.479157,-0.419065
0.479156,-0.419059
0.479152,-0.419051
0.479159,-0.419043
0.479152,-0.419041
0.479152,-0.419036
0.479152,-0.419031
0.479149,-0.419025
0.479147,-0.419024
0.479149,-0.419017
0.47915,-0.419009
0.479146,-0.419006
0.479145,-0.419003
0.479145,-0.418996
0.479142,-0.418993
0.479145,-0.418983
0.479144,-0.418979
0.479143,-0.418978
0.479138,-0.418975
0.479141,-0.418966
0.479137,-0.418966
0.479139,-0.418959
0.479138,-0.418955
0.479138,-0.418949
0.479135,-0.418945
0.479135,-0.418946
0.479134,-0.418936
0.479136,-0.418933
0.479132,-0.418928
0.479136,-0.418922
0.479132,-0.418923
0.479132,-0.418915
0.479134,-0.418909
0.479133,-0.418906
0.479134,-0.418901
0.479127,-0.4189
0.47913,-0.418895
0.479127,-0.418894
0.479129,-0.418887
0.479127,-0.418886
