O_T_EE_12,O_T_EE_13
0.479287,-0.41959
0.479291,-0.41959
0.479287,-0.419592
0.479288,-0.41959
0.479286,-0.419593
0.479286,-0.419592
0.479285,-0.419592
0.479286,-0.419589
0.479286,-0.419587
0.479286,-0.419585
0.479283,-0.419586
0.479283,-0.419586
0.479282,-0.419586
0.479284,-0.419583
0.479282,-0.419583
0.47928,-0.419581
0.479278,-0.419582
0.479277,-0.419581
0.479279,-0.419578
0.479278,-0.419579
0.479279,-0.419576
0.479279,-0.419574
0.479277,-0.419574
0.479277,-0.419569
0.479277,-0.419569
0.479274,-0.419565
0.479272,-0.41957
0.479278,-0.419561
0.479277,-0.41956
0.479274,-0.419559
0.479274,-0.419556
0.479271,-0.419555
0.479273,-0.41955
0.479276,-0.419546
0.479275,-0.419546
0.479277,-0.419542
0.479273,-0.419542
0.479272,-0.419536
0.479272,-0.419533
0.479271,-0.419529
0.479272,-0.419525
0.479273,-0.419519
0.479267,-0.419521
0.479269,-0.419516
0.479269,-0.419512
0.479267,-0.419509
0.479266,-0.419504
0.479263,-0.419502
0.479263,-0.4195
0.479263,-0.419494
0.479263,-0.419491
0.479259,-0.419488
0.479262,-0.419483
0.479262,-0.419477
0.479258,-0.419475
0.479258,-0.41947
0.47926,-0.419462
0.479255,-0.419462
0.47925,-0.419461
0.479254,-0.419448
0.479254,-0.419447
0.47925,-0.419444
0.479251,-0.419437
0.47925,-0.419434
0.479249,-0.419428
0.479249,-0.419422
0.47925,-0.419415
0.479244,-0.419414
0.479243,-0.419404
0.47924,-0.419399
0.479242,-0.41939
0.479239,-0.419385
0.479239,-0.419381
0.479238,-0.419374
0.479238,-0.41937
0.479234,-0.419364
0.479236,-0.419359
0.479235,-0.41935
0.47923,-0.419348
0.479232,-0.419341
0.479232,-0.419335
0.479231,-0.41933
0.479228,-0.419326
0.479225,-0.419322
0.479227,-0.419315
0.479224,-0.419309
0.479223,-0.419304
0.479223,-0.419296
0.479221,-0.41929
0.479218,-0.419284
0.479222,-0.419278
0.479215,-0.419273
0.479216,-0.419268
0.479212,-0.419263
0.479216,-0.419253
0.479213,-0.419248
0.479212,-0.419242
0.47921,-0.419236
0.479209,-0.419229
0.479209,-0.419221
0.479209,-0.419216
0.479206,-0.41921
0.479207,-0.419201
0.479205,-0.419197
0.479201,-0.419192
0.479203,-0.419183
0.479203,-0.419176
0.479198,-0.419171
0.479198,-0.419164
0.479196,-0.419162
0.479193,-0.419154
0.479198,-0.419145
0.479196,-0.419137
0.479193,-0.419134
0.479193,-0.419126
0.479192,-0.41912
0.479188,-0.419116
0.47919,-0.419108
0.47919,-0.419097
0.479189,-0.419093
0.479187,-0.419087
0.479187,-0.419078
0.479183,-0.419072
0.479185,-0.419067
0.479183,-0.419059
0.479181,-0.419055
0.479176,-0.419048
0.479176,-0.419042
0.479179,-0.419033
0.479175,-0.419026
0.479178,-0.419019
0.479177,-0.419012
0.479175,-0.419007
0.479173,-0.419
0.479176,-0.41899
0.479174,-0.418986
0.479173,-0.418979
0.47917,-0.418972
0.47917,-0.418968
0.479168,-0.418961
0.479169,-0.418953
0.479168,-0.418945
0.479167,-0.418943
0.479168,-0.418933
0.479164,-0.41893
0.479163,-0.418924
0.479167,-0.418914
0.479162,-0.418912
0.479164,-0.418905
0.479162,-0.418897
0.47916,-0.418892
0.479164,-0.418882
0.479163,-0.418878
0.479161,-0.418872
0.479159,-0.418865
0.479159,-0.418861
0.479161,-0.418855
0.479162,-0.418849
0.479161,-0.41884
0.479159,-0.418837
0.479159,-0.41883
0.479161,-0.418823
