O_T_EE_12,O_T_EE_13
0.479299,-0.419585
0.479301,-0.419583
0.479297,-0.419585
0.479295,-0.419585
0.479296,-0.419587
0.479298,-0.419589
0.479295,-0.419586
0.479295,-0.419585
0.479295,-0.419581
0.479294,-0.419581
0.479292,-0.419582
0.479297,-0.419581
0.479293,-0.419581
0.479289,-0.419582
0.479295,-0.419577
0.47929,-0.419577
0.479289,-0.419577
0.479291,-0.419574
0.479291,-0.419572
0.479289,-0.419573
0.479291,-0.41957
0.479291,-0.419566
0.479287,-0.41957
0.47929,-0.419564
0.479288,-0.419564
0.479288,-0.419563
0.479285,-0.419561
0.479286,-0.41956
0.479287,-0.419556
0.479285,-0.419556
0.479287,-0.419551
0.479281,-0.419553
0.479283,-0.419548
0.479285,-0.419546
0.479284,-0.419543
0.479285,-0.419538
0.479282,-0.419538
0.479282,-0.419536
0.479282,-0.419531
0.479282,-0.419529
0.479282,-0.419525
0.479282,-0.419526
0.47928,-0.419521
0.479281,-0.419517
0.47928,-0.419514
0.479282,-0.419507
0.479282,-0.419503
0.479276,-0.419507
0.479277,-0.4195
0.479279,-0.419495
0.479279,-0.419493
0.479278,-0.419487
0.479276,-0.419486
0.479272,-0.419485
0.47927,-0.419478
0.479273,-0.419474
0.479272,-0.419469
0.47927,-0.419464
0.479269,-0.419462
0.479268,-0.419457
0.479266,-0.419454
0.479269,-0.419446
0.479266,-0.419444
0.479266,-0.419437
0.479262,-0.419436
0.479261,-0.419429
0.479262,-0.419424
0.479258,-0.41942
0.47926,-0.419418
0.479257,-0.41941
0.479256,-0.419405
0.479255,-0.419401
0.479255,-0.419399
0.479257,-0.419389
0.479255,-0.419385
0.479251,-0.419384
0.479252,-0.419375
0.47925,-0.419373
0.47925,-0.419365
0.479251,-0.419361
0.479249,-0.419356
0.479245,-0.419355
0.479245,-0.419349
0.479247,-0.419342
0.479248,-0.419334
0.479242,-0.419332
0.479244,-0.419325
0.479242,-0.419321
0.479243,-0.419315
0.479242,-0.419309
0.479238,-0.419309
0.479241,-0.419298
0.479241,-0.419294
0.479242,-0.419285
0.479236,-0.419284
0.479234,-0.419268
0.479232,-0.41926
0.479228,-0.419259
0.47923,-0.419252
0.479231,-0.419244
0.479229,-0.41924
0.479227,-0.419233
0.47923,-0.419224
0.479229,-0.419222
0.479225,-0.419215
0.479223,-0.419212
0.479224,-0.419203
0.479223,-0.419197
0.479222,-0.419192
0.479219,-0.419187
0.479218,-0.419182
0.479222,-0.419173
0.479219,-0.419165
0.479217,-0.419163
0.479218,-0.419157
0.479215,-0.419153
0.479216,-0.419146
0.479216,-0.419138
0.479214,-0.419134
0.479214,-0.419128
0.479213,-0.419122
0.47921,-0.419118
0.47921,-0.41911
0.47921,-0.419106
0.479207,-0.419101
0.479209,-0.419094
0.479204,-0.419087
0.479202,-0.419087
0.479202,-0.419077
0.479202,-0.419071
0.479205,-0.419062
0.479204,-0.419057
0.479203,-0.41905
0.4792,-0.419046
0.479199,-0.41904
0.479199,-0.419035
0.479199,-0.419028
0.479199,-0.419023
0.479198,-0.419017
0.479196,-0.419013
0.479193,-0.419007
0.479197,-0.418999
0.479194,-0.418993
0.479193,-0.418991
0.479195,-0.418983
0.479195,-0.418976
0.479193,-0.418969
0.479192,-0.418965
0.479191,-0.41896
0.47919,-0.418955
0.479191,-0.418949
0.479191,-0.418944
0.47919,-0.418938
0.479192,-0.418932
0.479192,-0.418926
0.479191,-0.41892
0.479192,-0.418918
0.479188,-0.418912
0.47919,-0.418906
0.479191,-0.418897
0.479191,-0.418893
0.47919,-0.41889
0.479185,-0.418889
0.47919,-0.41888
0.479192,-0.418873
0.479191,-0.418867
0.479187,-0.418866
0.47919,-0.418857
0.47919,-0.418854
0.479189,-0.41885
0.479192,-0.418843
0.47919,-0.41884
0.479191,-0.41883
0.47919,-0.418829
0.479189,-0.418826
0.479192,-0.418819
0.479195,-0.418811
0.479192,-0.41881
0.47919,-0.418806
0.479194,-0.418797
0.479193,-0.418796
0.479192,-0.418792
0.479196,-0.418786
0.479195,-0.418783
0.479197,-0.418774
0.479195,-0.418776
0.479198,-0.418766
0.479198,-0.418762
0.479196,-0.418761
0.4792,-0.418754
0.479199,-0.418751
0.479199,-0.418748
0.479206,-0.418742
0.479201,-0.41874
0.479204,-0.418736
0.479204,-0.418733
0.479207,-0.418727
0.479207,-0.418724
0.479206,-0.418725
0.479206,-0.418719
0.47921,-0.418714
0.479211,-0.418709
0.479212,-0.418707
0.479213,-0.418705
0.479213,-0.418701
0.479217,-0.418697
0.479216,-0.418695
0.479217,-0.418692
0.479217,-0.418689
0.479221,-0.418685
0.479222,-0.418681
0.479224,-0.41868
0.479226,-0.418675
0.479226,-0.418672
0.479225,-0.418675
0.479236,-0.418658
0.479239,-0.418657
0.479241,-0.418654
0.479241,-0.418653
0.479245,-0.418649
0.479245,-0.418646
0.479249,-0.418645
0.479251,-0.418642
0.479252,-0.418638
0.479255,-0.418637
0.479255,-0.418636
0.479253,-0.418639
0.479258,-0.41863
0.47926,-0.418631
0.479257,-0.418634
0.479259,-0.418634
0.479262,-0.418631
0.479265,-0.418627
0.479262,-0.418628
0.47927,-0.418623
0.47927,-0.418624
0.47927,-0.418621
0.47927,-0.418622
0.47927,-0.418621
0.479272,-0.418621
0.479273,-0.418618
0.47928,-0.418613
0.479277,-0.418615
0.479278,-0.418613
0.479279,-0.418616
0.479282,-0.418614
0.479282,-0.418611
0.479282,-0.418612
0.479281,-0.418611
0.479289,-0.418606
0.47929,-0.418605
0.479289,-0.418604
0.479287,-0.418606
0.479289,-0.418604
0.479293,-0.418603
0.479293,-0.418602
0.479294,-0.418602
0.479297,-0.418599
0.479297,-0.418598
0.479293,-0.4186
0.479299,-0.418597
0.479299,-0.418598
0.479298,-0.418598
0.4793,-0.418594
0.479303,-0.418589
0.479302,-0.418592
0.479304,-0.418587
0.479305,-0.418587
0.479304,-0.418587
0.479304,-0.418587
0.479305,-0.418588
0.479308,-0.418584
0.479311,-0.418582
0.479311,-0.418583
0.479313,-0.418579
0.479311,-0.418583
0.47931,-0.418581
0.47931,-0.41858
0.479314,-0.418578
0.479313,-0.418576
0.479313,-0.418577
0.479312,-0.418577
0.479312,-0.418578
0.479316,-0.418575
0.479314,-0.418575
0.479313,-0.418573
0.479313,-0.418574
0.479313,-0.418574
0.479317,-0.418569
0.479317,-0.418571
0.479317,-0.41857
0.479318,-0.418565
0.479316,-0.418569
0.479316,-0.418567
0.479317,-0.418569
0.479316,-0.418567
0.479319,-0.418565
0.47932,-0.418564
0.479317,-0.418568
0.479317,-0.418567
0.479317,-0.418567
0.479317,-0.418564
0.479315,-0.418569
0.479316,-0.418567
0.479321,-0.418562
0.479318,-0.418569
0.479318,-0.418567
0.479319,-0.418568
0.47932,-0.418565
0.479319,-0.418565
0.479319,-0.418567
0.47932,-0.418564
0.479321,-0.418564
0.479321,-0.418565
0.47932,-0.418562
0.47932,-0.418567
0.479321,-0.418563
0.479324,-0.418563
0.479319,-0.418566
0.47932,-0.418565
0.47932,-0.418566
0.479323,-0.418562
0.479321,-0.418565
0.479321,-0.418563
0.47932,-0.418564
0.479319,-0.418567
0.479318,-0.418565
0.479324,-0.418564
0.479321,-0.418566
0.479319,-0.418568
0.479319,-0.418567
0.479321,-0.418566
0.47932,-0.418566
0.479321,-0.418567
0.47932,-0.418566
0.479321,-0.418566
0.479322,-0.418564
0.479321,-0.418566
0.479321,-0.418566
0.479322,-0.418567
0.479324,-0.418564
0.479318,-0.41857
0.479322,-0.418567
0.479324,-0.418562
0.47932,-0.418569
0.47932,-0.418569
0.479321,-0.418568
0.479319,-0.41857
0.479323,-0.418568
0.47932,-0.418568
0.479323,-0.418567
0.479322,-0.418568
0.47932,-0.41857
0.47932,-0.418567
0.479322,-0.418567
0.479317,-0.418569
0.47932,-0.418566
0.47932,-0.418568
0.479316,-0.418573
0.47932,-0.418567
0.479316,-0.418571
0.479319,-0.418568
0.479319,-0.418569
0.47932,-0.418566
0.479318,-0.41857
0.479321,-0.418566
0.479321,-0.418563
0.479317,-0.418568
0.47932,-0.418566
0.479319,-0.418571
0.479319,-0.418569
0.479322,-0.418567
0.479316,-0.418569
0.479319,-0.418567
0.479321,-0.418564
0.479319,-0.418566
0.47932,-0.418566
0.479322,-0.418563
0.479319,-0.418565
0.479319,-0.418566
0.47932,-0.418567
0.47932,-0.418566
0.479318,-0.41857
0.479318,-0.418567
0.479319,-0.418567
0.479317,-0.41857
0.47932,-0.418564
0.479318,-0.418568
0.479318,-0.418568
0.479319,-0.418565
0.479319,-0.418564
0.47932,-0.418566
0.479316,-0.418569
0.479321,-0.418565
0.47932,-0.418565
0.479316,-0.418568
0.47932,-0.418566
0.479319,-0.418566
0.479321,-0.418564
0.479318,-0.418568
0.479317,-0.418568
0.479318,-0.418567
0.479319,-0.418565
0.479318,-0.418567
0.479321,-0.418566
0.479323,-0.418564
0.479319,-0.418565
0.479321,-0.418564
0.479321,-0.418566
0.47932,-0.418566
0.479324,-0.418562
0.479321,-0.418566
0.47932,-0.418566
0.479322,-0.418565
0.479322,-0.418565
0.479322,-0.418563
0.479322,-0.418565
0.479321,-0.418566
0.479325,-0.418563
0.479323,-0.418563
0.479323,-0.418565
0.479323,-0.418563
0.479324,-0.418565
0.479322,-0.418564
0.479324,-0.418562
0.479324,-0.418562
0.479323,-0.418562
0.479324,-0.418562
0.479323,-0.418561
0.479323,-0.418565
0.479324,-0.418564
0.479325,-0.418563
0.479325,-0.418563
0.47932,-0.418566
0.479322,-0.418564
0.479322,-0.418564
0.479324,-0.418562
0.479322,-0.418563
0.479324,-0.41856
0.479321,-0.418564
0.479325,-0.418564
0.479322,-0.418563
0.479322,-0.418564
0.479323,-0.418563
0.479324,-0.418564
0.479323,-0.418563
0.479324,-0.418564
0.479326,-0.418563
0.47932,-0.418567
0.479321,-0.418564
0.47932,-0.418565
0.479321,-0.418566
0.479323,-0.418567
0.479321,-0.418567
0.479323,-0.418565
0.479321,-0.418566
0.479323,-0.418565
0.479323,-0.418565
