O_T_EE_12,O_T_EE_13
0.479281,-0.419593
0.479282,-0.419594
0.479285,-0.419593
0.479284,-0.419592
0.479286,-0.419589
0.479282,-0.419593
0.479282,-0.419589
0.479279,-0.419589
0.479284,-0.419584
0.479282,-0.419585
0.479278,-0.419587
0.47928,-0.419583
0.47928,-0.419585
0.479277,-0.419584
0.479277,-0.419584
0.479277,-0.41958
0.479276,-0.419577
0.479275,-0.419578
0.479275,-0.419575
0.479274,-0.419574
0.479277,-0.419568
0.479276,-0.419567
0.479272,-0.419566
0.479271,-0.419565
0.479272,-0.419563
0.47927,-0.419562
0.47927,-0.419557
0.47927,-0.419557
0.479268,-0.419554
0.479265,-0.419553
0.479268,-0.419547
0.479267,-0.419545
0.479268,-0.41954
0.479266,-0.419537
0.479264,-0.419537
0.479266,-0.41953
0.479263,-0.419529
0.479264,-0.419524
0.47926,-0.419524
0.479262,-0.419519
0.479262,-0.419513
0.479262,-0.419508
0.479258,-0.419506
0.479258,-0.419504
0.479258,-0.419498
0.479259,-0.419496
0.479259,-0.419488
0.479253,-0.419487
0.479254,-0.419481
0.47925,-0.419481
0.479251,-0.419475
0.479249,-0.41947
0.47925,-0.419464
0.479248,-0.419459
0.479251,-0.419452
0.479245,-0.41945
0.479246,-0.419443
0.479244,-0.419441
0.479247,-0.419432
0.479244,-0.419426
0.479242,-0.419422
0.479236,-0.419422
0.479237,-0.419413
0.479238,-0.419406
0.479235,-0.419404
0.479232,-0.419396
0.479228,-0.419392
0.479229,-0.419386
0.479231,-0.419377
0.479228,-0.419376
0.479226,-0.419365
0.479223,-0.419364
0.479221,-0.419356
0.479221,-0.419351
0.479222,-0.419344
0.479221,-0.419337
0.479217,-0.419334
0.479216,-0.419327
0.479212,-0.41932
0.479214,-0.419313
0.479211,-0.419306
0.479211,-0.4193
0.479211,-0.419292
0.479207,-0.419287
0.479205,-0.419283
0.479204,-0.419274
0.479203,-0.419268
0.4792,-0.419262
0.479201,-0.419253
0.479197,-0.419251
0.479196,-0.419242
0.479195,-0.419233
0.479194,-0.419225
0.47919,-0.419206
0.479189,-0.4192
0.479186,-0.419193
0.479183,-0.419189
0.479186,-0.419178
0.47918,-0.419172
0.479181,-0.419166
0.479181,-0.419159
0.479179,-0.419152
0.479177,-0.419144
0.479174,-0.41914
0.479174,-0.419133
0.479172,-0.419124
0.479172,-0.419116
0.479168,-0.419112
0.479168,-0.419101
0.479164,-0.419097
0.479163,-0.419088
0.479162,-0.419083
0.479162,-0.419072
0.479161,-0.419067
0.47916,-0.419058
0.47916,-0.419049
0.47916,-0.419041
0.479153,-0.41904
0.479156,-0.419029
0.479152,-0.419024
0.47915,-0.41902
0.479151,-0.419007
0.479149,-0.419001
0.479151,-0.418991
0.479148,-0.418983
0.479145,-0.418979
0.479143,-0.418975
0.479144,-0.418963
0.479147,-0.418955
0.479142,-0.418949
0.479143,-0.41894
0.479138,-0.418937
0.47914,-0.418928
0.47914,-0.418918
0.479135,-0.418912
0.479137,-0.418904
0.479135,-0.418899
0.479132,-0.418892
0.479134,-0.418885
0.479136,-0.418874
0.479133,-0.418872
0.47913,-0.418866
0.47913,-0.418858
0.47913,-0.418851
0.479128,-0.418842
0.47913,-0.418834
0.479127,-0.418829
0.479127,-0.418824
0.479126,-0.418814
0.479125,-0.418811
0.479125,-0.418804
0.479127,-0.418795
0.479128,-0.418789
0.479129,-0.418779
0.479125,-0.418774
0.479127,-0.418768
0.479128,-0.418763
0.479126,-0.418758
0.479126,-0.418752
0.479128,-0.418743
0.479127,-0.418739
0.479127,-0.418732
0.47913,-0.418724
0.479128,-0.418718
0.479127,-0.418711
0.479128,-0.418703
0.479125,-0.418702
0.479129,-0.418692
0.47913,-0.418687
0.479125,-0.418684
0.47913,-0.418675
0.479131,-0.418668
0.479129,-0.418664
0.479129,-0.418657
0.479133,-0.418649
0.479132,-0.418646
0.479135,-0.418639
0.479134,-0.418635
0.479135,-0.418627
0.479135,-0.418622
0.479136,-0.418617
0.479133,-0.418614
0.479139,-0.418604
0.479141,-0.418599
0.47914,-0.418593
0.479141,-0.418589
0.47914,-0.418589
0.479144,-0.418581
0.479147,-0.418573
0.479143,-0.418571
0.479147,-0.418565
0.479147,-0.41856
0.479152,-0.418551
0.479153,-0.418548
0.479152,-0.418545
0.479153,-0.418541
0.479157,-0.418535
0.479158,-0.418531
0.479162,-0.418524
0.479162,-0.41852
0.479162,-0.418516
0.479164,-0.418515
0.479165,-0.41851
0.479169,-0.418504
0.47917,-0.418503
0.479171,-0.418497
0.479174,-0.418494
0.479174,-0.41849
0.479179,-0.418485
0.479179,-0.41848
0.479184,-0.418476
0.479183,-0.418477
0.479183,-0.418474
0.479188,-0.418466
0.479193,-0.418463
0.479193,-0.418461
0.479196,-0.418459
0.479197,-0.418454
0.479199,-0.418453
0.479201,-0.418451
0.479204,-0.418446
0.479204,-0.418446
0.479207,-0.418442
0.479211,-0.418438
0.479211,-0.418435
0.479211,-0.418438
0.479214,-0.418434
0.479221,-0.418425
0.479221,-0.418423
0.479226,-0.418421
0.479225,-0.418422
0.479225,-0.418422
0.47923,-0.418416
0.479232,-0.418416
0.479232,-0.418417
0.479234,-0.418415
0.479239,-0.41841
0.479241,-0.418409
0.479242,-0.418408
0.479249,-0.418401
0.479247,-0.418403
0.479246,-0.418403
0.479252,-0.418399
0.479253,-0.418396
0.479256,-0.418394
0.479258,-0.418392
0.47926,-0.418391
0.47926,-0.418391
0.479264,-0.418385
0.479265,-0.418387
0.479269,-0.418382
0.479268,-0.418384
0.479269,-0.418384
0.479274,-0.418379
0.479274,-0.418378
0.479277,-0.418375
0.479278,-0.418374
0.479277,-0.418373
0.479281,-0.418372
0.479283,-0.418369
0.479282,-0.418368
0.479285,-0.418368
0.479284,-0.418367
0.479289,-0.418364
0.479287,-0.418361
0.479291,-0.418358
0.479293,-0.418359
0.479291,-0.41836
0.479292,-0.418354
0.479295,-0.418352
0.479296,-0.418352
0.479298,-0.418349
0.479302,-0.418346
0.479302,-0.418346
0.479303,-0.418348
0.479304,-0.418344
0.479303,-0.418344
0.479306,-0.418342
0.479307,-0.418338
0.479307,-0.41834
0.479312,-0.418333
0.479312,-0.418336
0.47931,-0.418337
0.479312,-0.418332
0.479313,-0.418331
0.479316,-0.418328
0.479318,-0.418327
0.479316,-0.418328
0.479317,-0.418324
0.47932,-0.418325
0.479322,-0.418322
0.479323,-0.41832
0.479319,-0.41832
0.479322,-0.418321
0.479323,-0.418316
0.479323,-0.418315
0.479323,-0.418315
0.479328,-0.418311
0.479322,-0.418314
0.479325,-0.418312
0.479324,-0.41831
0.479325,-0.418309
0.479327,-0.418307
0.479325,-0.418307
0.479331,-0.418305
0.479331,-0.418303
0.479331,-0.418304
0.479332,-0.418301
0.479332,-0.418303
0.479331,-0.418304
0.479333,-0.418301
0.479336,-0.418299
0.47934,-0.418294
0.479336,-0.418299
0.479337,-0.418296
0.47934,-0.418297
0.47934,-0.418296
0.479339,-0.418298
0.479339,-0.418295
0.479342,-0.418294
0.479342,-0.418292
0.479344,-0.41829
0.479343,-0.418292
0.479346,-0.41829
0.479344,-0.418291
0.479346,-0.418291
0.479347,-0.41829
0.479345,-0.418289
0.479347,-0.41829
0.479346,-0.418289
0.479345,-0.418288
0.47935,-0.418286
0.479346,-0.41829
0.479349,-0.418289
0.479351,-0.418289
0.47935,-0.418289
0.479346,-0.41829
0.479351,-0.418287
0.479349,-0.418288
0.479349,-0.418287
0.47935,-0.418285
0.479352,-0.418286
0.479349,-0.418288
0.479351,-0.418287
0.479352,-0.418286
0.479352,-0.418285
0.479354,-0.418285
0.479353,-0.418284
0.479355,-0.418285
0.479353,-0.418287
0.479355,-0.418283
0.479356,-0.418283
0.479355,-0.418285
0.479354,-0.418284
0.479355,-0.418285
0.479355,-0.418285
0.479359,-0.418281
0.479355,-0.418285
0.479353,-0.418286
0.479355,-0.418285
0.479354,-0.418286
0.479353,-0.418285
0.479353,-0.418285
0.479354,-0.418285
0.479356,-0.418282
0.479356,-0.418281
0.479354,-0.418283
0.479354,-0.418282
0.479354,-0.418283
0.479355,-0.418282
0.479352,-0.418284
0.479356,-0.418281
0.479353,-0.418283
0.479355,-0.418281
0.479351,-0.418282
0.479352,-0.418283
0.479354,-0.418283
0.479354,-0.418282
0.479354,-0.418282
0.479353,-0.418282
0.479354,-0.418282
0.479353,-0.418283
0.479351,-0.418282
0.479353,-0.418281
0.479351,-0.418282
0.479351,-0.418283
0.479352,-0.418281
0.479351,-0.418282
0.479351,-0.418282
0.47935,-0.418283
0.479352,-0.41828
0.479353,-0.41828
0.479353,-0.418281
0.479352,-0.418282
0.479353,-0.418279
0.479349,-0.418284
0.479352,-0.418279
0.479348,-0.418284
0.47935,-0.418285
0.479349,-0.418285
0.479351,-0.418282
0.47935,-0.418282
0.479348,-0.418284
0.479352,-0.418281
0.47935,-0.418283
0.479351,-0.418283
0.479352,-0.41828
0.479351,-0.418282
0.479352,-0.418284
0.47935,-0.418282
0.47935,-0.418283
0.479351,-0.418284
0.47935,-0.418285
0.47935,-0.418285
0.479352,-0.418282
0.479354,-0.41828
0.47935,-0.418284
0.479352,-0.418282
0.479352,-0.418284
0.479351,-0.418285
0.479355,-0.418281
0.479356,-0.418281
0.479352,-0.418282
0.479356,-0.418281
0.479353,-0.418281
0.479355,-0.418285
0.47935,-0.418285
0.479353,-0.418282
0.479354,-0.418281
0.479356,-0.418283
0.479354,-0.418282
0.479357,-0.418283
0.479354,-0.418283
0.479358,-0.418278
0.479356,-0.418281
0.479355,-0.41828
0.479356,-0.418282
0.479355,-0.418282
0.479356,-0.418282
0.479358,-0.418278
0.479356,-0.41828
0.479355,-0.418282
0.479354,-0.418283
0.479356,-0.418284
0.479355,-0.41828
0.479358,-0.41828
0.479353,-0.418284
0.479357,-0.418281
0.479357,-0.41828
0.479355,-0.418282
0.479355,-0.41828
0.479353,-0.418285
0.479357,-0.418278
0.479354,-0.418281
0.479355,-0.418282
0.479357,-0.418281
0.479358,-0.41828
0.479353,-0.418282
0.479357,-0.418279
0.479355,-0.418282
0.479356,-0.418281
0.479354,-0.418285
0.479357,-0.418281
0.479356,-0.418281
0.479355,-0.418284
0.479353,-0.418282
0.479353,-0.418285
0.479354,-0.418282
0.479353,-0.418282
0.479353,-0.418279
0.479354,-0.41828
0.479352,-0.418282
0.47935,-0.418285
0.479352,-0.418282
0.479351,-0.418283
0.479354,-0.418281
0.479352,-0.418284
0.479351,-0.418282
0.479352,-0.41828
0.47935,-0.418281
0.479352,-0.418284
0.479351,-0.418283
0.479353,-0.418281
0.479349,-0.418283
0.479352,-0.418282
0.479351,-0.418283
0.479352,-0.418282
0.479352,-0.418282
0.479349,-0.418284
0.47935,-0.418283
0.479354,-0.418282
0.479353,-0.418282
0.479351,-0.418287
0.479353,-0.418284
0.47935,-0.418284
0.479352,-0.41828
0.479351,-0.418283
0.479356,-0.41828
0.479352,-0.418282
0.479351,-0.418284
0.479353,-0.418283
0.479354,-0.418281
0.479355,-0.41828
0.479352,-0.41828
0.479352,-0.418281
0.479355,-0.41828
0.479353,-0.418282
0.479352,-0.418282
0.479355,-0.418282
0.479353,-0.418282
0.479354,-0.418282
0.479356,-0.418279
0.479355,-0.41828
0.479356,-0.41828
0.479355,-0.41828
0.479358,-0.418276
0.479358,-0.418278
0.479354,-0.41828
0.479358,-0.418278
0.479355,-0.41828
0.479355,-0.418282
0.479352,-0.418284
0.479355,-0.418284
0.479356,-0.418281
0.479358,-0.418279
0.479354,-0.418282
0.479357,-0.418281
0.479356,-0.418282
0.479358,-0.41828
0.479357,-0.418279
0.479355,-0.41828
0.479358,-0.418279
0.479357,-0.418281
0.479359,-0.418278
0.479356,-0.418282
0.479359,-0.41828
0.479358,-0.418279
0.479354,-0.418281
0.479358,-0.418279
0.479358,-0.418278
0.479356,-0.418279
0.479356,-0.41828
0.479359,-0.418278
0.479357,-0.418277
0.479359,-0.418276
0.479355,-0.418279
0.479356,-0.418278
0.479358,-0.418281
0.479355,-0.418278
0.479354,-0.418279
0.479357,-0.418275
0.479355,-0.418278
0.479357,-0.418279
0.479356,-0.41828
0.47936,-0.418276
0.479357,-0.418278
0.479356,-0.418279
0.479356,-0.41828
0.479357,-0.418276
0.479355,-0.418281
0.479356,-0.418278
0.479356,-0.418278
0.479356,-0.418278
0.479357,-0.418279
0.479358,-0.418279
0.479355,-0.418279
0.479355,-0.418279
0.479356,-0.418279
0.479354,-0.418281
0.479357,-0.41828
0.479356,-0.418278
0.479353,-0.418282
0.479355,-0.418281
0.479354,-0.418279
0.479352,-0.418282
0.479356,-0.418278
0.479355,-0.418278
0.479355,-0.418277
0.479355,-0.418279
0.479355,-0.418276
0.479356,-0.418279
0.479357,-0.418275
0.479354,-0.41828
0.479353,-0.418278
0.479356,-0.418276
0.479356,-0.418276
0.479357,-0.418278
0.479353,-0.418283
0.479354,-0.418279
0.479356,-0.418278
0.479354,-0.418279
0.479356,-0.41828
0.479355,-0.418279
0.479357,-0.418282
0.479356,-0.41828
0.479361,-0.418273
0.479358,-0.418279
0.479355,-0.418279
0.479357,-0.418278
0.479355,-0.418281
0.479358,-0.418279
0.479359,-0.418278
0.479356,-0.418281
0.479353,-0.418281
0.479357,-0.418279
0.479354,-0.41828
0.479356,-0.41828
0.479357,-0.418278
0.479357,-0.41828
0.479356,-0.418282
0.479355,-0.418279
0.479355,-0.418281
0.479356,-0.41828
0.479354,-0.41828
0.479358,-0.418276
0.479357,-0.418277
0.479356,-0.41828
0.479358,-0.418278
0.479359,-0.41828
0.479357,-0.418279
0.479358,-0.418279
0.479357,-0.418278
0.479355,-0.41828
0.479357,-0.418278
0.479355,-0.418281
0.479357,-0.418278
0.479356,-0.418278
0.47936,-0.418276
0.479358,-0.418277
0.479353,-0.41828
0.479355,-0.418283
0.479356,-0.41828
0.479357,-0.418278
0.479355,-0.418281
0.479357,-0.41828
0.479356,-0.41828
0.479356,-0.418278
0.479358,-0.418277
0.479358,-0.418279
0.479358,-0.418277
0.479358,-0.418277
0.479355,-0.418279
0.479359,-0.418278
0.479356,-0.41828
0.479357,-0.418277
0.479352,-0.418283
0.479355,-0.418277
0.479357,-0.418278
0.479352,-0.418283
0.479354,-0.418282
0.479356,-0.418278
0.479355,-0.418279
0.479354,-0.418281
0.479351,-0.418283
0.479354,-0.418281
0.479356,-0.41828
0.479358,-0.418277
0.479355,-0.418281
0.479353,-0.41828
0.479352,-0.418281
0.479353,-0.418283
0.479356,-0.418278
0.479356,-0.418276
0.479355,-0.418278
0.479356,-0.418278
0.47936,-0.418274
0.479353,-0.41828
0.479352,-0.418279
0.479354,-0.41828
0.479359,-0.418277
0.479355,-0.418279
0.479357,-0.41828
0.479354,-0.418282
0.479354,-0.418281
0.479356,-0.41828
0.479357,-0.418278
0.479359,-0.418277
0.479358,-0.418277
0.479357,-0.418275
0.479352,-0.418281
0.479356,-0.418278
0.479354,-0.41828
0.479353,-0.41828
0.479355,-0.418279
0.479355,-0.418279
0.479358,-0.418277
0.479355,-0.418281
0.479357,-0.41828
0.479357,-0.418279
0.479355,-0.41828
0.479359,-0.418278
0.47936,-0.418276
0.479357,-0.41828
0.479356,-0.418281
0.47936,-0.418277
0.47936,-0.418278
0.479359,-0.418279
0.479359,-0.418278
0.479357,-0.41828
0.47936,-0.418276
0.479361,-0.418275
0.479359,-0.418277
0.479357,-0.418278
0.479359,-0.418277
0.479361,-0.418275
0.479361,-0.418275
0.479361,-0.418277
0.479362,-0.418277
0.479358,-0.418279
0.479357,-0.418278
0.47936,-0.418277
0.479356,-0.41828
0.479358,-0.418275
0.47936,-0.418276
0.479359,-0.418276
0.479358,-0.418277
0.479357,-0.418276
0.479359,-0.418277
0.479358,-0.418275
0.47936,-0.418274
0.479357,-0.418276
0.479359,-0.418277
0.479357,-0.418278
0.479356,-0.418278
0.479355,-0.418279
0.479357,-0.418275
0.479358,-0.418275
0.479357,-0.418275
0.479356,-0.418279
0.479357,-0.418278
0.479358,-0.418277
0.479359,-0.418276
0.479363,-0.418272
0.479357,-0.418278
0.479357,-0.418277
0.479359,-0.418275
0.479359,-0.418275
0.479356,-0.418278
0.479356,-0.418281
0.479356,-0.418279
0.479353,-0.418278
0.479356,-0.418278
0.479359,-0.418277
0.479357,-0.418276
0.479357,-0.418275
0.479358,-0.418277
0.479355,-0.418279
0.479359,-0.418277
0.479356,-0.418277
0.479357,-0.418274
0.479358,-0.418276
0.479355,-0.418279
0.479357,-0.418276
0.479356,-0.418277
0.479357,-0.418276
